week,week_num,WAU,new,retained,resurrected,churned,quick_ratio,retention_rate
w1,1,1759,1759,0,0,0,,
w2,2,1654,723,931,0,828,0.8731884057971014,0.5292779988629903
w3,3,1732,645,1000,87,654,1.1192660550458715,0.6045949214026602
w4,4,2116,722,1169,225,563,1.6820603907637655,0.6749422632794457
w5,5,2193,674,1394,125,722,1.1066481994459834,0.6587901701323251
w6,6,2155,489,1479,187,714,0.9467787114845938,0.6744186046511628
w7,7,2549,860,1487,202,668,1.589820359281437,0.6900232018561485
w8,8,2875,1005,1677,193,872,1.3738532110091743,0.65790506080816
w9,9,2795,719,1839,237,1036,0.9227799227799228,0.6396521739130435
w10,10,2821,621,1938,262,857,1.0303383897316218,0.693381037567084
w11,11,2746,578,1931,237,890,0.9157303370786517,0.684509039347749
w12,12,2906,634,1944,328,802,1.199501246882793,0.7079388201019665
w13,13,3080,774,2021,285,885,1.1966101694915254,0.6954576737783895
w14,14,3051,669,2091,291,989,0.9706774519716885,0.6788961038961039
w15,15,2953,527,2115,311,936,0.8952991452991453,0.6932153392330384
w16,16,3066,537,2200,329,753,1.150066401062417,0.745005079580088
w17,17,3045,526,2206,313,860,0.9755813953488373,0.7195042400521853
w18,18,3099,515,2209,375,836,1.0645933014354068,0.7254515599343185
w19,19,3068,466,2280,322,819,0.9621489621489622,0.7357212003872217
w20,20,3102,542,2265,295,803,1.0423412204234122,0.7382659713168188
w21,21,2991,508,2179,304,923,0.8797399783315276,0.7024500322372663
w22,22,3247,490,2289,468,702,1.3646723646723646,0.765295887662989
w23,23,3194,437,2432,325,815,0.9349693251533743,0.7489990760702187
w24,24,3109,386,2425,298,769,0.8894668400520156,0.7592360676268003
w25,25,3101,405,2378,318,731,0.9890560875512996,0.7648761659697652
w26,26,3187,439,2404,344,697,1.1233859397417503,0.7752337955498226
w27,27,3185,457,2428,300,759,0.997364953886693,0.7618449952933793
w28,28,3075,370,2395,310,790,0.8607594936708861,0.7519623233908949
w29,29,2845,245,2292,308,783,0.7062579821200511,0.7453658536585366
w30,30,2685,175,2201,309,644,0.7515527950310559,0.7736379613356766
w31,31,2652,175,2172,305,513,0.935672514619883,0.8089385474860336
w32,32,2557,181,2071,305,581,0.8364888123924269,0.780920060331825
w33,33,2529,279,1981,269,576,0.9513888888888888,0.7747360187719984
w34,34,2934,366,2109,459,420,1.9642857142857142,0.833926453143535
w35,35,2887,434,2227,226,707,0.9335219236209336,0.7590320381731425
w36,36,3181,655,2251,275,636,1.4622641509433962,0.7797021129199861
w37,37,3099,504,2330,265,851,0.9036427732079906,0.7324740647595096
w38,38,3401,850,2306,245,793,1.3808322824716268,0.7441110035495321
w39,39,3737,900,2461,376,940,1.3574468085106384,0.7236107027344899
w40,40,3746,798,2641,307,1096,1.0082116788321167,0.7067166176077068
w41,41,4014,1006,2665,343,1081,1.247918593894542,0.711425520555259
w42,42,3448,371,2745,332,1269,0.55397951142632,0.6838565022421524
w43,43,3149,413,2445,291,1003,0.7018943170488534,0.709106728538283
w44,44,3218,475,2353,390,796,1.0866834170854272,0.7472213401079708
w45,45,3091,422,2309,360,909,0.8602860286028603,0.7175264139216905
w46,46,3583,592,2357,634,734,1.6702997275204359,0.7625363959883533
w47,47,3607,593,2583,431,1000,1.024,0.7209042701646665
w48,48,3822,643,2654,525,953,1.2256033578174186,0.7357915164957028
w49,49,3863,576,2825,462,997,1.041123370110331,0.739141810570382
w50,50,3754,549,2782,423,1081,0.8991674375578168,0.7201656743463629
w51,51,3801,519,2768,514,986,1.0476673427991887,0.7373468300479489
w52,52,3768,550,2764,454,1037,0.9681774349083896,0.7271770586687714
w53,53,3741,546,2715,480,1053,0.9743589743589743,0.7205414012738853
w54,54,3909,609,2757,543,984,1.170731707317073,0.7369687249398557
w55,55,3806,484,2811,511,1098,0.9061930783242259,0.7191097467382962
w56,56,3696,437,2786,473,1020,0.8921568627450981,0.7320021019442985
